Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Blur,PS3_b,Activision,Bizarre Creations,8.3,0.72m,0.22m,0.37m,0.02m,0.12m,25th May 10,25th May 10
F1 2011,X360_b,Codemasters,Codemasters Birmingham,8.5,0.72m,0.11m,0.50m,0.01m,0.09m,20th Sep 11,20th Sep 11
DiRT 3,X360_b,Codemasters,Codemasters,9.1,0.71m,0.23m,0.40m,0.01m,0.07m,24th May 11,24th May 11
Astro Bot Rescue Mission,PS4_b,Sony Interactive Entertainment,SIE Japan Studio,8.5,0.71m,0.22m,0.36m,0.02m,0.11m,02nd Oct 18,17th Sep 18
Yu-Gi-Oh! The Falsebound Kingdom,GC_b,Konami,Konami,4.4,0.71m,0.49m,0.13m,0.07m,0.02m,04th Nov 03,04th Nov 03
The LEGO Movie Videogame,PS4_b,Warner Bros. Interactive Entertainment,TT Fusion,6,0.71m,0.26m,0.32m,0.01m,0.11m,07th Feb 14,20th Mar 18
Blast Corps,N64_b,Nintendo,Rare Ltd.,9.1,0.71m,0.39m,0.09m,0.17m,0.06m,28th Feb 97,28th Feb 97
Monster Hunter 3 Ultimate,WiiU_b,Capcom,Capcom,8.7,0.71m,0.24m,0.20m,0.22m,0.04m,19th Mar 13,29th Jan 18
Catherine,PS3_b,Atlus,Atlus,7.9,0.71m,0.30m,0.15m,0.20m,0.06m,26th Jul 11,12th Sep 18
Plants vs Zombies: Garden Warfare,XOne_b,Electronic Arts,PopCap Games,7.6,0.71m,0.39m,0.25m,0.00m,0.06m,25th Feb 14,05th Feb 18
Ace Attorney Investigations: Miles Edgeworth,DS_b,Capcom,Capcom,7.7,0.70m,0.23m,0.14m,0.30m,0.04m,16th Feb 10,16th Feb 10
Chocobo's Dungeon 2,PS_b,Square EA,SquareSoft,6.2,0.70m,0.04m,0.03m,0.58m,0.05m,30th Nov 99,30th Nov 99
Ape Escape: On the Loose,PSP_b,Sony Computer Entertainment,SIMS,6.6,0.70m,0.52m,0.01m,0.12m,0.05m,22nd Mar 05,22nd Mar 05
James Bond 007: Blood Stone,PS3_b,Activision,Bizarre Creations,6.2,0.70m,0.18m,0.37m,0.02m,0.12m,02nd Nov 10,02nd Nov 10
Monster Hunter Stories,3DS_b,Capcom,Marvelous,8.1,0.70m,0.14m,0.15m,0.39m,0.03m,08th Sep 17,23rd May 18
Driver: San Francisco,X360_b,Ubisoft,Ubisoft Reflections,8.1,0.70m,0.25m,0.37m,0.00m,0.07m,06th Sep 11,06th Sep 11
Classic NES Series: Zelda II: The Adventure of Link,GBA_b,Nintendo,Nintendo EAD,6.6,0.70m,0.37m,0.14m,0.17m,0.01m,25th Oct 04,25th Oct 04
Metal Gear Solid: Portable Ops Plus,PSP_b,Konami,Kojima Productions,6.9,0.69m,0.26m,0.01m,0.26m,0.17m,13th Nov 07,13th Nov 07
The Evil Within,XOne_b,Bethesda Softworks,Tango Gameworks,7.9,0.69m,0.36m,0.27m,0.00m,0.06m,14th Oct 14,13th Mar 18
The Sly Collection,PS3_b,Sony Computer Entertainment,Sanzaru Games,8.7,0.69m,0.52m,0.08m,0.01m,0.08m,09th Nov 10,12th Apr 18
Fortnite,NS_b,Warner Bros. Interactive Entertainment,Epic Games,8.5,0.69m,0.38m,0.24m,0.01m,0.06m,16th Nov 18,18th Jun 18
Mario Party: The Top 100,3DS_b,Nintendo,"Nd Cube Co., Ltd.",5,0.69m,0.23m,0.17m,0.24m,0.04m,10th Nov 17,04th Aug 20
Test Drive Unlimited 2,X360_b,Atari,Eden Studios,6.8,0.68m,0.30m,0.32m,0.00m,0.06m,08th Feb 11,08th Feb 11
Hot Shots Golf: Open Tee 2,PSP_b,Sony Computer Entertainment,Clap Hanz,8,0.68m,0.21m,0.11m,0.28m,0.08m,03rd Jun 08,03rd Jun 08
Rayman Legends,WiiU_b,Ubisoft,Ubisoft Montpellier,9.5,0.68m,0.25m,0.35m,0.03m,0.05m,03rd Sep 13,02nd Jan 19
Bushido Blade 2,PS_b,Square EA,Light Weight,7.5,0.68m,0.25m,0.17m,0.22m,0.04m,28th Feb 98,28th Feb 98
Suikoden II,PS_b,Konami,Konami,8.5,0.68m,0.15m,0.10m,0.38m,0.04m,29th Sep 99,29th Sep 99
.hack//Mutation Part 2,PS2_b,Bandai,CyberConnect2,7.5,0.68m,0.23m,0.18m,0.20m,0.06m,07th May 03,07th May 03
Spider-Man 3,PS3_b,Activision,Treyarch,6.6,0.67m,0.26m,0.29m,0.02m,0.11m,04th May 07,04th May 07
Diablo III: Eternal Collection,NS_b,Blizzard Entertainment,Blizzard Entertainment,9,0.67m,0.38m,0.22m,0.01m,0.06m,02nd Nov 18,13th Sep 18
Wild ARMs 2,PS_b,Sony Computer Entertainment,Media.Vision,6.5,0.67m,0.19m,0.13m,0.31m,0.04m,30th Apr 00,30th Apr 00
Final Fantasy Crystal Chronicles: Ring of Fates,DS_b,Square Enix,Square Enix,7.7,0.66m,0.22m,0.01m,0.42m,0.02m,11th Mar 08,11th Mar 08
2014 FIFA World Cup Brazil,PS3_b,EA Sports,EA Canada,7.9,0.66m,0.15m,0.40m,0.01m,0.10m,15th Apr 14,22nd Mar 18
Castlevania: Lords of Shadow,X360_b,Konami,Mercury Steam,7.9,0.66m,0.42m,0.17m,0.01m,0.05m,05th Oct 10,05th Oct 10
Fist of the North Star: Ken's Rage,PS3_b,Tecmo Koei,Tecmo Koei Games,4.8,0.66m,0.06m,0.03m,0.55m,0.01m,02nd Nov 10,30th Jul 18
Suikoden IV,PS2_b,Konami,Konami Computer Entertainment Tokyo,6.3,0.66m,0.17m,0.13m,0.30m,0.05m,11th Jan 05,11th Jan 05
Shaun White Snowboarding,PS3_b,Ubisoft,Ubisoft Montreal,6,0.66m,0.31m,0.24m,0.01m,0.10m,16th Nov 08,16th Nov 08
Dead or Alive 5,PS3_b,Tecmo Koei,Team Ninja,7.6,0.65m,0.23m,0.15m,0.21m,0.07m,17th Feb 15,23rd Jan 18
F-Zero GX,GC_b,Nintendo,Amusement Vision,8.4,0.65m,0.41m,0.11m,0.12m,0.02m,26th Aug 03,26th Aug 03
007: Quantum of Solace,Wii_b,Activision,Beenox,5.6,0.65m,0.29m,0.28m,0.01m,0.07m,04th Nov 08,04th Nov 08
LEGO City Undercover,NS_b,Warner Bros. Interactive Entertainment,TT Fusion,8,0.65m,0.23m,0.33m,0.03m,0.05m,04th Apr 17,24th Feb 18
Star Ocean: First Departure,PSP_b,Square Enix,TOSE Software,7.5,0.65m,0.20m,0.14m,0.22m,0.09m,21st Oct 08,21st Oct 08
Sengoku Basara: Samurai Heroes,PS3_b,Capcom,Capcom,6.1,0.64m,0.17m,0.04m,0.40m,0.02m,12th Oct 10,12th Oct 10
New Play Control! Pikmin,Wii_b,Nintendo,Nintendo EAD,7.7,0.64m,0.28m,0.13m,0.19m,0.04m,09th Mar 09,09th Mar 09
Dragon Ball: Raging Blast 2,X360_b,Namco Bandai,Spike,6,0.64m,0.49m,0.09m,0.01m,0.05m,02nd Nov 10,02nd Nov 10
Castlevania,N64_b,Konami,KCEK,7.6,0.64m,0.44m,0.10m,0.04m,0.05m,26th Jan 99,26th Jan 99
Dead Island: Riptide,PS3_b,Deep Silver,Techland,6.6,0.64m,0.26m,0.21m,0.07m,0.10m,23rd Apr 13,15th Mar 18
Lost Planet: Extreme Condition,PS3_b,Capcom,Capcom,6.3,0.64m,0.31m,0.17m,0.07m,0.08m,26th Feb 08,26th Feb 08
White Knight Chronicles II,PS3_b,D3 Publisher,Level 5,5.4,0.63m,0.23m,0.09m,0.27m,0.04m,13th Sep 11,13th Sep 11
LEGO The Incredibles,NS_b,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,0.63m,0.35m,0.21m,0.01m,0.06m,15th Jun 18,06th Nov 18
Ape Escape 2,PS2_b,Ubisoft,SCE Japan Studio,8,0.63m,0.12m,0.09m,0.38m,0.03m,30th Jun 03,16th Sep 18
Shin Megami Tensei: Persona 3 FES,PS2_b,Atlus,Atlus,8.7,0.63m,0.22m,0.20m,0.16m,0.05m,22nd Apr 08,11th Jan 18
Tony Hawk's Project 8,PS3_b,Activision,Neversoft Entertainment,7.9,0.63m,0.30m,0.23m,0.01m,0.10m,17th Nov 06,17th Nov 06
NieR,PS3_b,Square Enix,Cavia Inc.,6.6,0.63m,0.17m,0.19m,0.20m,0.07m,27th Apr 10,27th Apr 10
Test Drive Unlimited 2,PS3_b,Atari,Eden Studios,6.9,0.63m,0.16m,0.35m,0.01m,0.11m,08th Feb 11,08th Feb 11
Wild ARMs 3,PS2_b,Sony Computer Entertainment,Media.Vision,7.6,0.62m,0.16m,0.13m,0.29m,0.04m,15th Oct 02,15th Oct 02
Donkey Kong Barrel Blast,Wii_b,Nintendo,Paon Corporation,4.8,0.62m,0.19m,0.26m,0.11m,0.06m,08th Oct 07,08th Oct 07
Jak and Daxter: The Lost Frontier,PSP_b,Sony Computer Entertainment,High Impact Games,7.5,0.62m,0.18m,0.28m,0.00m,0.16m,03rd Nov 09,03rd Nov 09
Viewtiful Joe,GC_b,Capcom,Clover Studio,9.4,0.62m,0.38m,0.10m,0.12m,0.02m,07th Oct 03,07th Oct 03
Prince of Persia: The Forgotten Sands,X360_b,Ubisoft,Ubisoft Montreal,7.5,0.62m,0.30m,0.26m,0.00m,0.06m,18th May 10,18th May 10
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS_b,Capcom,Capcom,7.9,0.62m,0.30m,0.03m,0.25m,0.03m,23rd Oct 07,23rd Oct 07
NBA 2K9,PS3_b,2K Sports,Visual Concepts,8.3,0.62m,0.56m,0.00m,0.00m,0.05m,07th Oct 08,07th Oct 08
Dragon Ball Z: Ultimate Tenkaichi,PS3_b,Namco Bandai,Spike,5,0.62m,0.27m,0.18m,0.09m,0.07m,25th Oct 11,25th Oct 11
Wet,PS3_b,Bethesda Softworks,Artificial Mind and Movement,6.9,0.62m,0.22m,0.27m,0.01m,0.11m,15th Sep 09,15th Sep 09
Vanquish,PS3_b,Sega,PlatinumGames,8.5,0.61m,0.21m,0.22m,0.11m,0.08m,19th Oct 10,19th Oct 10
Samurai Warriors 2,PS2_b,KOEI,Omega Force,5.6,0.61m,0.02m,0.02m,0.57m,0.01m,19th Sep 06,19th Sep 06
Sacred 2: Fallen Angel,PS3_b,CDV Software Entertainment,Ascaron Entertainment,7.1,0.61m,0.22m,0.23m,0.08m,0.09m,11th May 09,11th May 09
New Play Control! Pikmin 2,Wii_b,Nintendo,Nintendo EAD,8.7,0.61m,0.11m,0.13m,0.34m,0.02m,10th Jun 12,10th Jun 12
Final Fantasy IV Advance,GBA_b,Square Enix,Square Enix,8.6,0.61m,0.27m,0.10m,0.22m,0.01m,12th Dec 05,12th Dec 05
Wave Race: Blue Storm,GC_b,Nintendo,Nintendo Software Technology Corporation,8.4,0.60m,0.40m,0.10m,0.09m,0.02m,17th Nov 01,17th Nov 01
Suikoden,PS_b,Konami,Konami,8.2,0.60m,0.21m,0.14m,0.21m,0.04m,01st Dec 96,01st Dec 96
Call of Juarez: Bound in Blood,X360_b,Ubisoft,Techland,7.6,0.60m,0.30m,0.24m,0.00m,0.06m,30th Jun 09,30th Jun 09
PGR3 - Project Gotham Racing 3,X360_b,Microsoft Game Studios,Bizarre Creations,8.8,0.60m,0.49m,0.03m,0.03m,0.05m,16th Nov 05,16th Nov 05
Metal Gear Solid V: Ground Zeroes,PS3_b,Konami Digital Entertainment,Kojima Productions,8.5,0.59m,0.13m,0.13m,0.28m,0.05m,18th Mar 14,22nd Mar 18
Kane & Lynch 2: Dog Days,PS3_b,Square Enix,IO Interactive,6.3,0.59m,0.17m,0.28m,0.05m,0.10m,17th Aug 10,17th Aug 10
2002 FIFA World Cup,PS2_b,EA Sports,EA Canada,7.9,0.59m,0.21m,0.17m,0.16m,0.06m,22nd Apr 02,22nd Apr 02
Dead or Alive Xtreme Beach Volleyball,XB_b,Tecmo,Team Ninja,6.6,0.59m,0.36m,0.08m,0.14m,0.02m,22nd Jan 03,22nd Jan 03
WarioWare D.I.Y.,DS_b,Nintendo,Intelligent Systems,8.3,0.59m,0.17m,0.18m,0.20m,0.04m,28th Mar 10,28th Mar 10
Silent Hill: Shattered Memories,PS2_b,Konami,Climax Group,8,0.59m,0.13m,0.22m,0.01m,0.23m,19th Jan 10,19th Jan 10
Madden NFL 06,X360_b,EA Sports,EA Tiburon,7.7,0.59m,0.54m,0.00m,0.01m,0.03m,16th Nov 05,16th Nov 05
Blur,X360_b,Activision,Bizarre Creations,8.3,0.59m,0.25m,0.27m,0.00m,0.06m,25th May 10,25th May 10
Alice: Madness Returns,PS3_b,Electronic Arts,Spicy Horse,6.7,0.59m,0.22m,0.24m,0.04m,0.08m,14th Jun 11,14th Jun 11
Harvest Moon: Friends of Mineral Town,GBA_b,Natsume,TOSE Software,7.6,0.59m,0.34m,0.13m,0.11m,0.01m,17th Nov 03,17th Nov 03
Final Fantasy Explorers,3DS_b,Square Enix,Square Enix,7.3,0.59m,0.17m,0.10m,0.29m,0.03m,26th Jan 16,08th Jan 18
LEGO Worlds,NS_b,Warner Bros. Interactive Entertainment,Traveller's Tales,5,0.58m,0.21m,0.33m,0.00m,0.04m,05th Sep 17,25th Feb 18
Diablo,PS_b,Electronic Arts,Climax Group,8.3,0.58m,0.29m,0.19m,0.07m,0.04m,01st Jan 98,01st Jan 98
Tom Clancy's HAWX,X360_b,Ubisoft,Ubisoft Romania,6.9,0.58m,0.31m,0.19m,0.02m,0.06m,03rd Mar 09,03rd Mar 09
International Superstar Soccer '98,N64_b,Konami,Konami Computer Entertainment Osaka,9.1,0.58m,0.06m,0.30m,0.19m,0.03m,15th Sep 98,15th Sep 98
Final Fantasy: The 4 Heroes of Light,DS_b,Square Enix,Matrix Software,7.2,0.58m,0.22m,0.10m,0.23m,0.03m,05th Oct 10,05th Oct 10
Kirby and the Rainbow Curse,WiiU_b,Nintendo,HAL Laboratory,8.2,0.58m,0.26m,0.14m,0.13m,0.04m,20th Feb 15,20th Mar 18
Disney Magic World 2,3DS_b,Nintendo,High Horse Entertainment,7.5,0.58m,0.07m,0.25m,0.23m,0.02m,14th Oct 16,08th Jan 18
Disgaea 4: A Promise Unforgotten,PS3_b,NIS America,Nippon Ichi Software,7.9,0.58m,0.27m,0.11m,0.14m,0.06m,06th Sep 11,06th Sep 11
BlazBlue: Calamity Trigger,PS3_b,Aksys Games,Arc System Works,8.5,0.57m,0.36m,0.10m,0.06m,0.06m,30th Jun 09,30th Jun 09
Ultra Street Fighter II: The Final Challengers,NS_b,Capcom,Capcom,7,0.57m,0.22m,0.22m,0.09m,0.04m,26th May 17,04th Jan 18
Harvest Moon: The Tale of Two Towns,DS_b,Natsume,Marvelous Interactive,6.3,0.57m,0.27m,0.06m,0.22m,0.03m,20th Sep 11,20th Sep 11
Beyond The Beyond,PS_b,Sony Computer Entertainment,Camelot Software Planning,4.8,0.57m,0.11m,0.08m,0.35m,0.04m,31st Aug 96,31st Aug 96
Harvest Moon: Sunshine Islands,DS_b,Natsume,Marvelous Interactive,9,0.57m,0.35m,0.03m,0.17m,0.03m,10th Nov 09,10th Nov 09
Top Spin 3,PS3_b,2K Sports,Pam Development,7.8,0.57m,0.08m,0.37m,0.00m,0.12m,23rd Jun 08,23rd Jun 08
Resident Evil Outbreak File #2,PS2_b,Capcom,CapcomÂ ProductionÂ StudioÂ 1,5.8,0.57m,0.19m,0.15m,0.17m,0.05m,26th Apr 05,26th Apr 05
Breath of Fire IV,PS_b,Capcom,Capcom,8.4,0.56m,0.11m,0.08m,0.34m,0.04m,28th Nov 00,28th Nov 00
Everybody's Golf,PS4_b,Sony Interactive Entertainment,Clap Hanz,8.1,0.56m,0.12m,0.22m,0.17m,0.06m,29th Aug 17,23rd Sep 18
Odin Sphere,PS2_b,Atlus,Vanillaware,8,0.56m,0.23m,0.18m,0.09m,0.06m,22nd May 07,10th Jan 19
Final Fantasy IV: The Complete Collection,PSP_b,Square Enix,Matrix Software,8,0.56m,0.13m,0.09m,0.27m,0.06m,19th Apr 11,19th Apr 11
Tom Clancy's HAWX,PS3_b,Ubisoft,Ubisoft Romania,7.5,0.56m,0.21m,0.22m,0.05m,0.09m,03rd Mar 09,03rd Mar 09
Xenoblade Chronicles,3DS_b,Nintendo,Monolith Soft,8.6,0.56m,0.24m,0.15m,0.13m,0.04m,10th Apr 15,15th Jan 18
Tetris Party Deluxe,Wii_b,Majesco,"Tetris Online, Inc",7.3,0.56m,0.33m,0.16m,0.02m,0.05m,01st Jun 10,01st Jun 10
Metroid: Samus Returns,3DS_b,Nintendo,Mercury Steam,9.1,0.56m,0.30m,0.15m,0.07m,0.05m,15th Sep 17,21st Sep 18
Resident Evil 2,N64_b,Capcom,Angel Studios,9,0.56m,0.39m,0.09m,0.07m,0.01m,31st Oct 99,31st Oct 99
Enslaved: Odyssey to the West,PS3_b,Namco Bandai,Ninja Theory,7.9,0.56m,0.24m,0.23m,0.01m,0.08m,05th Oct 10,05th Oct 10
No More Heroes,Wii_b,Ubisoft,Grasshopper Manufacture,8.2,0.56m,0.29m,0.17m,0.04m,0.05m,22nd Jan 08,22nd Jan 08
Lunar: Silver Star Story Complete,PS_b,Working Designs,Game Arts,7.6,0.55m,0.27m,0.18m,0.06m,0.04m,28th May 99,28th May 99
Metal Gear Solid 3: Subsistence,PS2_b,Konami,Kojima Productions,9.4,0.55m,0.34m,0.01m,0.15m,0.06m,14th Mar 06,14th Mar 06
Poochy & Yoshi's Woolly World,3DS_b,Nintendo,Good-Feel,7.5,0.55m,0.20m,0.16m,0.17m,0.03m,03rd Feb 17,07th Jan 18
Disgaea 3: Absence of Justice,PS3_b,NIS America,Nippon Ichi Software,7.8,0.55m,0.36m,0.03m,0.11m,0.05m,26th Aug 08,26th Aug 08
Donkey Kong Jungle Climber,DS_b,Nintendo,Paon Corporation,7.8,0.55m,0.25m,0.03m,0.24m,0.03m,10th Sep 07,10th Sep 07
ModNation Racers,PSP_b,Sony Computer Entertainment,SCE San Diego Studio,7.7,0.54m,0.11m,0.27m,0.02m,0.14m,25th May 10,03rd Feb 18
Dynasty Warriors: Gundam 3,PS3_b,Tecmo Koei,Omega Force,6.5,0.54m,0.11m,0.05m,0.36m,0.02m,28th Jun 11,28th Jun 11
Bulletstorm,PS3_b,Electronic Arts,People Can Fly,8.4,0.54m,0.24m,0.20m,0.01m,0.09m,22nd Feb 11,22nd Feb 11
Enslaved: Odyssey to the West,X360_b,Namco Bandai,Ninja Theory,8,0.54m,0.30m,0.19m,0.00m,0.05m,05th Oct 10,05th Oct 10
NBA Live 10,PS3_b,EA Sports,EA Canada,7.9,0.54m,0.46m,0.03m,0.01m,0.05m,06th Oct 09,06th Oct 09
Hotel Dusk: Room 215,DS_b,Nintendo,Cing,8,0.54m,0.26m,0.04m,0.22m,0.03m,22nd Jan 07,22nd Jan 07
Dragon Ball Z: Ultimate Tenkaichi,X360_b,Namco Bandai,Spike,6,0.54m,0.39m,0.10m,0.01m,0.05m,25th Oct 11,25th Oct 11
Valkyria Chronicles II,PSP_b,Sega,Sega WOW Overworks,8.1,0.54m,0.12m,0.16m,0.18m,0.09m,31st Aug 10,31st Aug 10
Bust A Groove,PS_b,989 Studios,Metro,7.7,0.54m,0.09m,0.06m,0.35m,0.04m,31st Oct 98,31st Oct 98
Fire Emblem: Path of Radiance,GC_b,Nintendo,Intelligent Systems,8.6,0.54m,0.29m,0.08m,0.16m,0.01m,17th Oct 05,17th Oct 05
METRO 2033,X360_b,THQ,4a-games,7.4,0.54m,0.22m,0.23m,0.03m,0.05m,16th Mar 10,16th Mar 10
Mario Tennis Ultra Smash,WiiU_b,Nintendo,Camelot Software Planning,6.1,0.54m,0.16m,0.20m,0.15m,0.03m,20th Nov 15,21st Mar 18
Tactics Ogre: Let Us Cling Together,PSP_b,Square Enix,Square Enix,9,0.54m,0.15m,0.07m,0.27m,0.05m,15th Feb 11,15th Feb 11
Two Worlds II,X360_b,SouthPeak Interactive,Reality Pump,6.5,0.54m,0.40m,0.07m,0.03m,0.04m,25th Jan 11,25th Jan 11
Sacred 2: Fallen Angel,X360_b,CDV Software Entertainment,Ascaron Entertainment,7,0.54m,0.29m,0.16m,0.04m,0.05m,11th May 09,11th May 09
Time Crisis: Razing Storm,PS3_b,Namco Bandai,Nex Entertainment,5.8,0.54m,0.18m,0.21m,0.07m,0.08m,19th Oct 10,19th Oct 10
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii_b,Capcom,Eighting,8.3,0.54m,0.30m,0.16m,0.03m,0.05m,26th Jan 10,26th Jan 10
Dragon Ball: Fusions,3DS_b,Namco Bandai Games,Ganbarion,6.3,0.54m,0.17m,0.09m,0.24m,0.03m,22nd Nov 16,14th Jan 18
Rune Factory: A Fantasy Harvest Moon,DS_b,Natsume,Neverland Company,8.1,0.53m,0.35m,0.01m,0.14m,0.03m,14th Aug 07,14th Aug 07
Clock Tower,PS_b,ASCII Entertainment,Human Entertainment,6.1,0.53m,0.07m,0.05m,0.38m,0.03m,30th Sep 97,30th Sep 97
Phoenix Wright: Ace Attorney - Justice for All,DS_b,Capcom,Capcom,7.6,0.53m,0.21m,0.04m,0.26m,0.03m,16th Jan 07,16th Jan 07
Excite Truck,Wii_b,Nintendo,Monster Games Inc.,7,0.53m,0.39m,0.03m,0.08m,0.04m,19th Nov 06,19th Nov 06
Sonic & Sega All-Stars Racing Transformed,WiiU_b,Sega,Sumo Digital,6.9,0.53m,0.19m,0.28m,0.02m,0.04m,18th Nov 12,14th Sep 20
Terminator Salvation,PS3_b,Warner Bros. Interactive,GRIN,5,0.53m,0.13m,0.29m,0.01m,0.10m,19th May 09,19th May 09
Star Fox Command,DS_b,Nintendo,Nintendo EAD / Q-Games,7.2,0.53m,0.38m,0.01m,0.10m,0.04m,28th Aug 06,28th Aug 06
Silent Hill: Origins,PSP_b,Konami,Climax Group,7.8,0.52m,0.22m,0.16m,0.04m,0.10m,06th Nov 07,06th Nov 07
Mystery Dungeon: Shiren the Wanderer,DS_b,Sega,ChunSoft,7.1,0.52m,0.17m,0.00m,0.33m,0.02m,04th Mar 08,04th Mar 08
GT Pro Series,Wii_b,Ubisoft,MTO,3.7,0.52m,0.46m,0.01m,0.02m,0.04m,14th Nov 06,14th Nov 06
F.E.A.R. 2: Project Origin,X360_b,Warner Bros. Interactive,Monolith Productions,7.9,0.52m,0.32m,0.15m,0.00m,0.05m,10th Feb 09,10th Feb 09
Metal Gear Solid 2: Substance,PS2_b,Konami,Konami Computer Entertainment Japan,8.5,0.52m,0.18m,0.14m,0.16m,0.05m,03rd Mar 03,03rd Mar 03
The 3rd Birthday,PSP_b,Square Enix,HexaDrive,7,0.52m,0.13m,0.07m,0.27m,0.05m,29th Mar 11,29th Mar 11
Rune Factory 2: A Fantasy Harvest Moon,DS_b,Natsume,Neverland Company,7.9,0.52m,0.32m,0.03m,0.15m,0.03m,18th Nov 08,18th Nov 08
Way of the Samurai 3,PS3_b,Agetec,Acquire,6.5,0.52m,0.18m,0.08m,0.22m,0.04m,13th Oct 09,13th Oct 09
Lair,PS3_b,Sony Computer Entertainment,Factor 5,5.5,0.51m,0.36m,0.04m,0.08m,0.04m,30th Aug 07,30th Aug 07
SoulCalibur: Broken Destiny,PSP_b,Namco Bandai,Project Soul,8,0.51m,0.12m,0.20m,0.07m,0.12m,01st Sep 09,01st Sep 09
Pro Evolution Soccer 2010,Wii_b,Konami,Konami,8.1,0.51m,0.12m,0.27m,0.06m,0.05m,10th Nov 09,10th Nov 09
Bleach: Soul Resurreccion,PS3_b,NIS America,Eighting,6.7,0.51m,0.27m,0.11m,0.07m,0.06m,03rd Aug 11,03rd Aug 11
Dynasty Warriors,PSP_b,Tecmo Koei,Omega Force,6.6,0.51m,0.18m,0.00m,0.30m,0.02m,17th Mar 05,17th Mar 05
Dragon Ball: Raging Blast,X360_b,Namco Bandai,Spike,5.8,0.51m,0.36m,0.08m,0.02m,0.04m,10th Nov 09,10th Nov 09
Fire Emblem Warriors,NS_b,Nintendo,Omega Force,7.3,0.51m,0.22m,0.14m,0.10m,0.04m,20th Oct 17,03rd Aug 20
R.U.S.E.,PS3_b,Ubisoft,Eugen Systems,8,0.50m,0.18m,0.22m,0.02m,0.08m,07th Sep 10,07th Sep 10
Picross DS,DS_b,Nintendo,Jupiter Multimedia,8.4,0.50m,0.17m,0.02m,0.30m,0.02m,30th Jul 07,30th Jul 07
Tactics Ogre: The Knight of Lodis,GBA_b,Atlus,Quest Corporation,8.5,0.50m,0.13m,0.05m,0.31m,0.01m,11th May 02,11th May 02
Hometown Story,3DS_b,Natsume,Toy Box,5.5,0.50m,0.29m,0.13m,0.04m,0.04m,22nd Oct 13,14th Jan 18
Dead or Alive Ultimate,XB_b,Tecmo,Team Ninja,8.1,0.50m,0.30m,0.10m,0.08m,0.02m,26th Oct 04,26th Oct 04
PokÃ©mon Art Academy,3DS_b,Nintendo,Headstrong Games,7.8,0.50m,0.18m,0.12m,0.17m,0.03m,24th Oct 14,03rd Aug 18
Epic Mickey: Power of Illusion,3DS_b,Disney Interactive Studios,DreamRift,6.6,0.50m,0.36m,0.05m,0.04m,0.04m,18th Nov 12,09th Jan 18
Picross 3D,DS_b,Nintendo,HAL Laboratory,8.7,0.50m,0.28m,0.03m,0.16m,0.03m,03rd May 10,03rd May 10
Alice: Madness Returns,X360_b,Electronic Arts,Spicy Horse,6.9,0.50m,0.27m,0.15m,0.04m,0.04m,14th Jun 11,14th Jun 11
Super Monkey Ball 3D,3DS_b,Sega,Sega,5.7,0.50m,0.26m,0.15m,0.05m,0.04m,27th Mar 11,27th Mar 11
Wet,X360_b,Bethesda Softworks,Artificial Mind and Movement,6.9,0.50m,0.23m,0.21m,0.01m,0.05m,15th Sep 09,15th Sep 09
Spider-Man 2,DS_b,Activision,Vicarious Visions,6.1,0.50m,0.41m,0.02m,0.03m,0.04m,16th Nov 04,16th Nov 04
Steel Diver,3DS_b,Nintendo,Nintendo EAD,5.6,0.50m,0.31m,0.10m,0.05m,0.04m,27th Mar 11,27th Mar 11
Resident Evil: The Mercenaries 3D,3DS_b,Capcom,Capcom,6.3,0.49m,0.16m,0.17m,0.13m,0.03m,28th Jun 11,28th Jun 11
Dynasty Warriors: Gundam 2,PS3_b,Namco Bandai,Omega Force,5.9,0.49m,0.09m,0.07m,0.32m,0.03m,21st Apr 09,21st Apr 09
Tony Hawk's Project 8,X360_b,Activision,Neversoft Entertainment,8.4,0.49m,0.44m,0.02m,0.00m,0.04m,07th Nov 06,07th Nov 06
Story of Seasons: Trio of Towns,3DS_b,Marvelous Interactive,Marvelous Entertainment,7.9,0.49m,0.19m,0.06m,0.22m,0.03m,28th Feb 17,29th May 18
Fire Emblem: Radiant Dawn,Wii_b,Nintendo,Intelligent Systems,7.7,0.49m,0.27m,0.03m,0.17m,0.03m,05th Nov 07,05th Nov 07
Mario Golf: World Tour,3DS_b,Nintendo,Camelot Software Planning,8.1,0.49m,0.14m,0.15m,0.18m,0.03m,02nd May 14,09th Jan 18
Ace Combat: Assault Horizon,X360_b,Namco Bandai,Project ACES,7,0.49m,0.30m,0.12m,0.03m,0.04m,11th Oct 11,11th Oct 11
Asphalt 3D,3DS_b,Ubisoft,Konami,4,0.49m,0.27m,0.16m,0.02m,0.04m,22nd Mar 11,22nd Mar 11
Kane & Lynch 2: Dog Days,X360_b,Square Enix,IO Interactive,6.4,0.49m,0.20m,0.23m,0.01m,0.05m,17th Aug 10,17th Aug 10
Animal Crossing: Amiibo Festival,WiiU_b,Nintendo,"Nd Cube Co., Ltd.",4.8,0.49m,0.23m,0.12m,0.10m,0.04m,13th Nov 15,08th Feb 18
