Game,Console,Publisher,Developer,Critic Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update_ Real
Need for Speed: Most Wanted,X360_b,Electronic Arts,Electronic Arts,8.4,1.25m,1.00m,0.13m,0.02m,0.10m,16th Nov 05,16th Nov 05
Black,PS2_b,Electronic Arts,Criterion Games,7.7,1.25m,1.01m,0.04m,0.03m,0.16m,28th Feb 06,28th Feb 06
Cars 2,DS_b,Disney Interactive Studios,Avalanche Software,6.5,1.25m,0.68m,0.41m,0.04m,0.12m,21st Jun 11,21st Jun 11
Need for Speed Carbon,PS3_b,Electronic Arts,EA Black Box,7.8,1.24m,0.49m,0.51m,0.03m,0.20m,17th Nov 06,17th Nov 06
2010 FIFA World Cup South Africa,PS3_b,EA Sports,EA Canada,8.2,1.23m,0.30m,0.64m,0.07m,0.22m,27th Apr 10,27th Apr 10
Donkey Kong Country 2,GBA_b,Nintendo,Rare Ltd.,7.6,1.23m,0.79m,0.27m,0.12m,0.04m,15th Nov 04,15th Nov 04
Star Wars Battlefront II,PSP_b,LucasArts,Savage Entertainment,6.9,1.22m,1.05m,0.06m,0.01m,0.10m,01st Nov 05,01st Nov 05
Intelligent Qube,PS_b,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1.22m,0.13m,0.07m,1.00m,0.02m,30th Sep 97,30th Sep 97
Bayonetta,PS3_b,Sega,PlatinumGames,8.6,1.21m,0.44m,0.40m,0.21m,0.16m,05th Jan 10,05th Jan 10
FIFA Soccer 11,PSP_b,EA Sports,HB Studios,7,1.21m,0.13m,0.70m,0.01m,0.36m,28th Sep 10,28th Sep 10
F1 2011,PS3_b,Codemasters,Codemasters Birmingham,8.4,1.20m,0.12m,0.75m,0.11m,0.23m,20th Sep 11,20th Sep 11
Metal Gear Solid V: Ground Zeroes,PS4_b,Konami Digital Entertainment,Kojima Productions,7.6,1.20m,0.36m,0.50m,0.17m,0.17m,18th Mar 14,22nd Mar 18
Shadow of the Colossus,PS4_b,Sony Interactive Entertainment,Bluepoint Games,9.3,1.20m,0.44m,0.52m,0.05m,0.19m,06th Feb 18,26th Nov 18
Mario & Sonic at the London 2012 Olympic Games,3DS_b,Sega,Sega,6.5,1.19m,0.18m,0.66m,0.27m,0.08m,14th Feb 12,14th Feb 12
Metal Gear Solid: Portable Ops,PSP_b,Konami,Kojima Productions,8.7,1.19m,0.38m,0.35m,0.38m,0.09m,05th Dec 06,05th Dec 06
Spider-Man: The Movie,GC_b,Activision,Treyarch,7.6,1.19m,0.86m,0.27m,0.01m,0.04m,15th Apr 02,15th Apr 02
Red Dead Redemption: Undead Nightmare,PS3_b,Rockstar Games,Rockstar San Diego,10,1.18m,0.47m,0.45m,0.06m,0.19m,23rd Nov 10,23rd Nov 10
WWE '12,PS3_b,THQ,"Yuke's Co., Ltd.",9,1.18m,0.53m,0.45m,0.02m,0.17m,22nd Nov 11,29th Jan 19
Mission: Impossible,N64_b,Ocean,Infogrames,6.6,1.17m,0.74m,0.38m,0.02m,0.03m,18th Jul 98,18th Jul 98
WWE SmackDown vs. Raw 2010,PS3_b,THQ,JAKKS Pacific,8.1,1.17m,0.48m,0.48m,0.01m,0.19m,20th Oct 09,20th Oct 09
Army of Two,PS3_b,Electronic Arts,EA Montreal,7.4,1.17m,0.74m,0.26m,0.02m,0.15m,07th Mar 08,03rd Feb 18
Sunset Overdrive,XOne_b,Microsoft Studios,Insomniac Games,8,1.16m,0.64m,0.42m,0.00m,0.10m,28th Oct 14,06th Jan 18
Bushido Blade,PS_b,Sony Computer Entertainment,Light Weight,8.2,1.16m,0.39m,0.27m,0.43m,0.08m,30th Sep 97,30th Sep 97
Mirror's Edge,X360_b,Electronic Arts,EA Digital Illusions CE,7.6,1.16m,0.51m,0.51m,0.01m,0.12m,11th Nov 08,25th Mar 19
Medal of Honor Heroes 2,PSP_b,Electronic Arts,Team Fusion,6.6,1.16m,0.50m,0.39m,0.02m,0.25m,13th Nov 07,13th Nov 07
FIFA Soccer 10,PSP_b,EA Sports,EA Canada,7.9,1.16m,0.16m,0.68m,0.01m,0.31m,20th Oct 09,20th Oct 09
The Elder Scrolls V: Skyrim,NS_b,Bethesda Softworks,Bethesda Softworks,8.6,1.15m,0.67m,0.32m,0.06m,0.10m,17th Nov 17,01st Jan 18
Dragon Quest VIII: Journey of the Cursed King,3DS_b,Nintendo,Level 5 / Armor Project,8.8,1.15m,0.14m,0.11m,0.88m,0.02m,20th Jan 17,07th Jan 18
Ratchet & Clank: All 4 One,PS3_b,Sony Computer Entertainment,Insomniac Games,7.5,1.15m,0.75m,0.22m,0.05m,0.13m,18th Oct 11,18th Oct 11
007: Quantum of Solace,PS3_b,Activision,Treyarch,6.6,1.14m,0.43m,0.51m,0.02m,0.19m,04th Nov 08,04th Nov 08
Shadow of the Colossus,PS2_b,Sony Computer Entertainment,Team ICO,9.1,1.14m,0.78m,0.03m,0.20m,0.13m,18th Oct 05,18th Oct 05
