Game,Console,Publisher,Developer,Critic_Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Last_Update__Real,Release_Date
Tom_Clancy's_EndWar,X360_b,Ubisoft,Ubisoft_Shanghai,8,910000,580000,240000,10000,90000,0,10529
007:_Quantum_of_Solace,Wii_b,Activision,Beenox,5.6,650000,290000,280000,10000,70000,0,10529
007:_Quantum_of_Solace,PS2_b,Activision,Treyarch,7.8,430000,170000,0,0,260000,0,10529
Namco_Museum:_Virtual_Arcade,X360_b,Namco_Bandai,Namco_Bandai_Games,7,310000,270000,10000,10000,20000,0,10529
PES_2009:_Pro_Evolution_Soccer,PS3_b,Konami,Konami,7.7,2110000,110000,1340000,400000,260000,0,10536
Mirror's_Edge,X360_b,Electronic_Arts,EA_Digital_Illusions_CE,7.6,1160000,510000,510000,10000,120000,3784,10536
Mirror's_Edge,PS3_b,Electronic_Arts,EA_Digital_Illusions_CE,7.7,1130000,310000,590000,20000,210000,3784,10536
PES_2009:_Pro_Evolution_Soccer,PSP_b,Konami,Konami,7.3,800000,40000,330000,260000,170000,0,10536
Banjo-Kazooie:_Nuts_&_Bolts,X360_b,Microsoft_Game_Studios,Rare_Ltd.,8,760000,320000,350000,0,80000,0,10537
Shaun_White_Snowboarding,X360_b,Ubisoft,Ubisoft_Montreal,6.2,810000,480000,250000,0,80000,0,10541
Shaun_White_Snowboarding,PS3_b,Ubisoft,Ubisoft_Montreal,6,660000,310000,240000,10000,100000,0,10541
Need_for_Speed:_Undercover,PS3_b,Electronic_Arts,EA_Vancouver,5.9,2060000,630000,1010000,50000,380000,0,10542
Need_for_Speed:_Undercover,X360_b,Electronic_Arts,EA_Vancouver,6.3,1690000,800000,700000,10000,180000,0,10542
Need_for_Speed:_Undercover,PSP_b,Electronic_Arts,Piranha_Games,5.4,770000,230000,320000,30000,190000,0,10542
Tomb_Raider:_Underworld,PS3_b,Eidos_Interactive,Crystal_Dynamics,7.8,1260000,450000,550000,50000,210000,0,10543
Tomb_Raider:_Underworld,X360_b,Eidos_Interactive,Crystal_Dynamics,7.5,1070000,530000,420000,10000,110000,0,10543
Rune_Factory_2:_A_Fantasy_Harvest_Moon,DS_b,Natsume,Neverland_Company,7.9,520000,320000,30000,150000,30000,0,10543
Castlevania_Judgment,Wii_b,Konami,Konami_/_Eighting,4.6,160000,120000,20000,10000,10000,0,10543
Metal_Slug_7,DS_b,Ignition_Entertainment,SNK_Playmore_Corporation,6.9,140000,120000,0,10000,10000,0,10543
Sonic_Unleashed,X360_b,Sega,Sonic_Team,5.6,950000,540000,320000,0,90000,0,10545
Prince_of_Persia,PS3_b,Ubisoft,Ubisoft_Montreal,8.3,1070000,470000,410000,30000,170000,0,10557
Prince_of_Persia,X360_b,Ubisoft,Ubisoft_Montreal,8.2,1010000,540000,340000,20000,100000,0,10557
