Game,Console,Publisher,Developer,Critic_Score,Total_Sales,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Release_Date,Last_Update_Real
Fallout_3,PS3_b,Bethesda_Softworks,Bethesda_Game_Studios,8.8,4.00m,2.18m,1.15m,0.07m,0.61m,28th_Oct_08,28th_Oct_08
NBA_2K16,PS4_b,2K_Sports,Visual_Concepts,8.7,3.98m,2.56m,0.66m,0.05m,0.71m,29th_Sep_15,28th_Mar_18
Far_Cry_5,PS4_b,Ubisoft,Ubisoft,7.9,3.95m,1.44m,1.73m,0.15m,0.62m,27th_Mar_18,28th_Feb_18
Battlefield_4,PS4_b,Electronic_Arts,EA_DICE,8.3,3.94m,1.40m,1.74m,0.19m,0.62m,15th_Nov_13,09th_Jan_18
Assassin's_Creed_IV:_Black_Flag,PS3_b,Ubisoft,Ubisoft_Montreal,8.7,3.94m,1.34m,1.86m,0.13m,0.62m,29th_Oct_13,14th_Mar_18
Tony_Hawk's_Underground,PS2_b,Activision,Neversoft_Entertainment,8.7,3.90m,2.29m,1.17m,0.01m,0.42m,27th_Oct_03,27th_Oct_03
Sports_Champions,PS3_b,Sony_Computer_Entertainment,SCE_San_Diego_Studio,7.6,3.88m,2.15m,1.13m,0.10m,0.50m,17th_Sep_10,17th_Sep_10
World_Soccer_Winning_Eleven_8_International,PS2_b,Konami,Konami_Computer_Entertainment_Tokyo,9.3,3.85m,0.16m,1.89m,1.12m,0.68m,01st_Feb_05,01st_Feb_05
Ratchet_&_Clank:_Size_Matters,PSP_b,Sony_Computer_Entertainment,High_Impact_Games,8.5,3.75m,1.40m,1.40m,0.10m,0.86m,13th_Feb_07,13th_Feb_07
FIFA_Soccer_2005,PS2_b,EA_Sports,EA_Canada,8.4,3.70m,0.58m,2.48m,0.04m,0.59m,12th_Oct_04,12th_Oct_04
Tony_Hawk's_Pro_Skater_4,PS2_b,Activision,Neversoft_Entertainment,9.6,3.67m,2.13m,1.18m,0.01m,0.35m,23rd_Oct_02,23rd_Oct_02
MySims,DS_b,Electronic_Arts,EA_Redwood_Shores,6.7,3.66m,1.58m,1.60m,0.08m,0.40m,18th_Sep_07,18th_Sep_07
SOCOM:_U.S._Navy_SEALs,PS2_b,Sony_Computer_Entertainment,Zipper_Interactive,8,3.65m,2.53m,0.81m,0.06m,0.24m,27th_Aug_02,27th_Aug_02
Battlefield_4,PS3_b,Electronic_Arts,EA_DICE,8.7,3.64m,1.31m,1.50m,0.27m,0.55m,29th_Oct_13,04th_Jan_18
Jak_and_Daxter:_The_Precursor_Legacy,PS2_b,Sony_Computer_Entertainment,Naughty_Dog,9,3.64m,2.08m,1.09m,0.15m,0.33m,04th_Dec_01,04th_Dec_01
Pro_Evolution_Soccer_2008,PS2_b,Konami,Konami,8.2,3.63m,0.05m,0.00m,0.64m,2.93m,11th_Mar_08,11th_Mar_08
FIFA_Soccer_10,PS3_b,EA_Sports,EA_Canada,9,3.63m,0.60m,2.46m,0.05m,0.52m,20th_Oct_09,20th_Oct_09
Star_Wars_Battlefront,PS2_b,LucasArts,Pandemic_Studios,8.1,3.61m,1.93m,1.22m,0.03m,0.44m,20th_Sep_04,20th_Sep_04
